,Label (Grouping),Alabama!!Estimate,Alabama!!Margin of Error,Alabama!!Percent,Alabama!!Percent Margin of Error,Alaska!!Estimate,Alaska!!Margin of Error,Alaska!!Percent,Alaska!!Percent Margin of Error,Arizona!!Estimate,Arizona!!Margin of Error,Arizona!!Percent,Arizona!!Percent Margin of Error,Arkansas!!Estimate,Arkansas!!Margin of Error,Arkansas!!Percent,Arkansas!!Percent Margin of Error,California!!Estimate,California!!Margin of Error,California!!Percent,California!!Percent Margin of Error,Colorado!!Estimate,Colorado!!Margin of Error,Colorado!!Percent,Colorado!!Percent Margin of Error,Connecticut!!Estimate,Connecticut!!Margin of Error,Connecticut!!Percent,Connecticut!!Percent Margin of Error,Delaware!!Estimate,Delaware!!Margin of Error,Delaware!!Percent,Delaware!!Percent Margin of Error,District of Columbia!!Estimate,District of Columbia!!Margin of Error,District of Columbia!!Percent,District of Columbia!!Percent Margin of Error,Florida!!Estimate,Florida!!Margin of Error,Florida!!Percent,Florida!!Percent Margin of Error,Georgia!!Estimate,Georgia!!Margin of Error,Georgia!!Percent,Georgia!!Percent Margin of Error,Hawaii!!Estimate,Hawaii!!Margin of Error,Hawaii!!Percent,Hawaii!!Percent Margin of Error,Idaho!!Estimate,Idaho!!Margin of Error,Idaho!!Percent,Idaho!!Percent Margin of Error,Illinois!!Estimate,Illinois!!Margin of Error,Illinois!!Percent,Illinois!!Percent Margin of Error,Indiana!!Estimate,Indiana!!Margin of Error,Indiana!!Percent,Indiana!!Percent Margin of Error,Iowa!!Estimate,Iowa!!Margin of Error,Iowa!!Percent,Iowa!!Percent Margin of Error,Kansas!!Estimate,Kansas!!Margin of Error,Kansas!!Percent,Kansas!!Percent Margin of Error,Kentucky!!Estimate,Kentucky!!Margin of Error,Kentucky!!Percent,Kentucky!!Percent Margin of Error,Louisiana!!Estimate,Louisiana!!Margin of Error,Louisiana!!Percent,Louisiana!!Percent Margin of Error,Maine!!Estimate,Maine!!Margin of Error,Maine!!Percent,Maine!!Percent Margin of Error,Maryland!!Estimate,Maryland!!Margin of Error,Maryland!!Percent,Maryland!!Percent Margin of Error,Massachusetts!!Estimate,Massachusetts!!Margin of Error,Massachusetts!!Percent,Massachusetts!!Percent Margin of Error,Michigan!!Estimate,Michigan!!Margin of Error,Michigan!!Percent,Michigan!!Percent Margin of Error,Minnesota!!Estimate,Minnesota!!Margin of Error,Minnesota!!Percent,Minnesota!!Percent Margin of Error,Mississippi!!Estimate,Mississippi!!Margin of Error,Mississippi!!Percent,Mississippi!!Percent Margin of Error,Missouri!!Estimate,Missouri!!Margin of Error,Missouri!!Percent,Missouri!!Percent Margin of Error,Montana!!Estimate,Montana!!Margin of Error,Montana!!Percent,Montana!!Percent Margin of Error,Nebraska!!Estimate,Nebraska!!Margin of Error,Nebraska!!Percent,Nebraska!!Percent Margin of Error,Nevada!!Estimate,Nevada!!Margin of Error,Nevada!!Percent,Nevada!!Percent Margin of Error,New Hampshire!!Estimate,New Hampshire!!Margin of Error,New Hampshire!!Percent,New Hampshire!!Percent Margin of Error,New Jersey!!Estimate,New Jersey!!Margin of Error,New Jersey!!Percent,New Jersey!!Percent Margin of Error,New Mexico!!Estimate,New Mexico!!Margin of Error,New Mexico!!Percent,New Mexico!!Percent Margin of Error,New York!!Estimate,New York!!Margin of Error,New York!!Percent,New York!!Percent Margin of Error,North Carolina!!Estimate,North Carolina!!Margin of Error,North Carolina!!Percent,North Carolina!!Percent Margin of Error,North Dakota!!Estimate,North Dakota!!Margin of Error,North Dakota!!Percent,North Dakota!!Percent Margin of Error,Ohio!!Estimate,Ohio!!Margin of Error,Ohio!!Percent,Ohio!!Percent Margin of Error,Oklahoma!!Estimate,Oklahoma!!Margin of Error,Oklahoma!!Percent,Oklahoma!!Percent Margin of Error,Oregon!!Estimate,Oregon!!Margin of Error,Oregon!!Percent,Oregon!!Percent Margin of Error,Pennsylvania!!Estimate,Pennsylvania!!Margin of Error,Pennsylvania!!Percent,Pennsylvania!!Percent Margin of Error,Rhode Island!!Estimate,Rhode Island!!Margin of Error,Rhode Island!!Percent,Rhode Island!!Percent Margin of Error,South Carolina!!Estimate,South Carolina!!Margin of Error,South Carolina!!Percent,South Carolina!!Percent Margin of Error,South Dakota!!Estimate,South Dakota!!Margin of Error,South Dakota!!Percent,South Dakota!!Percent Margin of Error,Tennessee!!Estimate,Tennessee!!Margin of Error,Tennessee!!Percent,Tennessee!!Percent Margin of Error,Texas!!Estimate,Texas!!Margin of Error,Texas!!Percent,Texas!!Percent Margin of Error,Utah!!Estimate,Utah!!Margin of Error,Utah!!Percent,Utah!!Percent Margin of Error,Vermont!!Estimate,Vermont!!Margin of Error,Vermont!!Percent,Vermont!!Percent Margin of Error,Virginia!!Estimate,Virginia!!Margin of Error,Virginia!!Percent,Virginia!!Percent Margin of Error,Washington!!Estimate,Washington!!Margin of Error,Washington!!Percent,Washington!!Percent Margin of Error,West Virginia!!Estimate,West Virginia!!Margin of Error,West Virginia!!Percent,West Virginia!!Percent Margin of Error,Wisconsin!!Estimate,Wisconsin!!Margin of Error,Wisconsin!!Percent,Wisconsin!!Percent Margin of Error,Wyoming!!Estimate,Wyoming!!Margin of Error,Wyoming!!Percent,Wyoming!!Percent Margin of Error,Puerto Rico!!Estimate,Puerto Rico!!Margin of Error,Puerto Rico!!Percent,Puerto Rico!!Percent Margin of Error
HOUSE HEATING FUEL,        Coal or coke,60,±96,0.00%,±0.1,582,±375,0.20%,±0.1,583,±451,0.00%,±0.1,0,±213,0.00%,±0.1,"1,877",±745,0.00%,±0.1,640,±335,0.00%,±0.1,843,±371,0.10%,±0.1,353,±299,0.10%,±0.1,0,±236,0.00%,±0.1,"1,004",±615,0.00%,±0.1,672,±518,0.00%,±0.1,194,±304,0.00%,±0.1,259,±254,0.00%,±0.1,760,±455,0.00%,±0.1,"2,813",±888,0.10%,±0.1,320,±224,0.00%,±0.1,87,±122,0.00%,±0.1,"1,776",±816,0.10%,±0.1,139,±179,0.00%,±0.1,"1,255",±602,0.20%,±0.1,"1,527",±582,0.10%,±0.1,"1,320",±591,0.00%,±0.1,"1,211",±448,0.00%,±0.1,372,±242,0.00%,±0.1,243,±353,0.00%,±0.1,411,±374,0.00%,±0.1,360,±226,0.10%,±0.1,30,±44,0.00%,±0.1,185,±200,0.00%,±0.1,847,±510,0.20%,±0.1,"1,624",±825,0.00%,±0.1,345,±258,0.00%,±0.1,"14,596","±1,816",0.20%,±0.1,632,±464,0.00%,±0.1,228,±101,0.10%,±0.1,"2,782",±818,0.10%,±0.1,210,±199,0.00%,±0.1,580,±416,0.00%,±0.1,"43,046","±2,785",0.80%,±0.1,338,±267,0.10%,±0.1,0,±226,0.00%,±0.1,173,±194,0.00%,±0.1,584,±578,0.00%,±0.1,"2,502","±1,937",0.00%,±0.1,996,±430,0.10%,±0.1,226,±168,0.10%,±0.1,"1,297",±649,0.00%,±0.1,555,±402,0.00%,±0.1,"2,270",±890,0.30%,±0.1,945,±465,0.00%,±0.1,508,±361,0.20%,±0.1,145,±238,0.00%,±0.1
HOUSE HEATING FUEL,        Wood,"13,644","±2,212",0.70%,±0.1,"11,092","±1,297",4.10%,±0.5,"45,318","±2,636",1.60%,±0.1,"30,391","±2,725",2.60%,±0.2,"170,065","±7,815",1.30%,±0.1,"31,404","±2,629",1.40%,±0.1,"22,992","±2,125",1.60%,±0.1,"2,224",±736,0.60%,±0.2,0,±236,0.00%,±0.1,"9,329","±1,946",0.10%,±0.1,"21,725","±2,676",0.50%,±0.1,"1,148",±495,0.20%,±0.1,"40,497","±3,357",5.80%,±0.5,"17,048","±1,930",0.30%,±0.1,"45,859","±3,650",1.70%,±0.1,"14,319","±1,588",1.10%,±0.1,"12,093","±1,239",1.00%,±0.1,"34,474","±2,769",1.90%,±0.2,"6,549","±1,377",0.40%,±0.1,"46,227","±2,935",7.80%,±0.5,"19,674","±2,185",0.80%,±0.1,"30,651","±2,855",1.10%,±0.1,"89,594","±3,553",2.20%,±0.1,"35,887","±1,928",1.60%,±0.1,"9,482","±1,790",0.80%,±0.2,"63,043","±3,390",2.60%,±0.1,"29,979","±2,096",6.70%,±0.5,"7,638","±1,176",1.00%,±0.1,"12,410","±1,868",1.00%,±0.2,"30,381","±2,674",5.50%,±0.5,"9,820","±1,659",0.30%,±0.1,"49,041","±3,198",5.90%,±0.4,"108,202","±4,973",1.40%,±0.1,"50,353","±3,471",1.20%,±0.1,"1,234",±453,0.40%,±0.1,"74,259","±4,243",1.50%,±0.1,"20,873","±1,699",1.30%,±0.1,"86,517","±4,761",5.10%,±0.3,"109,832","±5,451",2.10%,±0.1,"4,581","±1,049",1.00%,±0.2,"10,490","±1,821",0.50%,±0.1,"3,812",±951,1.10%,±0.3,"32,907","±3,073",1.20%,±0.1,"28,036","±3,789",0.30%,±0.1,"8,173","±1,366",0.70%,±0.1,"33,125","±2,151",12.30%,±0.8,"53,547","±3,462",1.60%,±0.1,"87,688","±4,822",2.90%,±0.2,"37,047","±3,383",5.10%,±0.5,"67,980","±2,249",2.80%,±0.1,"9,586","±1,625",3.90%,±0.7,106,±176,0.00%,±0.1
HOUSE HEATING FUEL,        Solar energy,366,±319,0.00%,±0.1,132,±131,0.00%,±0.1,"30,298","±2,910",1.10%,±0.1,575,±349,0.00%,±0.1,"144,690","±7,247",1.10%,±0.1,"12,121","±1,682",0.50%,±0.1,"2,966",±960,0.20%,±0.1,688,±410,0.20%,±0.1,"1,087",±454,0.30%,±0.1,"32,438","±3,532",0.40%,±0.1,"1,438",±634,0.00%,±0.1,"21,790","±2,216",4.40%,±0.5,775,±379,0.10%,±0.1,"3,134",±846,0.10%,±0.1,"2,220",±816,0.10%,±0.1,"1,084",±399,0.10%,±0.1,400,±274,0.00%,±0.1,352,±239,0.00%,±0.1,"1,066",±569,0.10%,±0.1,"1,374",±480,0.20%,±0.1,"7,185","±1,463",0.30%,±0.1,"5,807","±1,373",0.20%,±0.1,"2,539","±1,424",0.10%,±0.1,976,±415,0.00%,±0.1,927,±933,0.10%,±0.1,"2,735",±879,0.10%,±0.1,300,±210,0.10%,±0.1,88,±128,0.00%,±0.1,"7,314","±1,402",0.60%,±0.1,890,±461,0.20%,±0.1,"7,643","±1,547",0.20%,±0.1,"5,578","±1,289",0.70%,±0.2,"8,858","±1,536",0.10%,±0.1,"3,992","±1,059",0.10%,±0.1,0,±170,0.00%,±0.1,"1,477",±602,0.00%,±0.1,385,±209,0.00%,±0.1,"1,824",±775,0.10%,±0.1,"4,867","±1,123",0.10%,±0.1,482,±341,0.10%,±0.1,"2,753",±945,0.10%,±0.1,16,±27,0.00%,±0.1,569,±535,0.00%,±0.1,"21,399","±4,127",0.20%,±0.1,"3,738",±869,0.30%,±0.1,"1,349",±459,0.50%,±0.2,"3,312",±924,0.10%,±0.1,"4,167",±969,0.10%,±0.1,52,±89,0.00%,±0.1,"1,613",±542,0.10%,±0.1,517,±471,0.20%,±0.2,"6,454","±1,307",0.60%,±0.1
HOUSE HEATING FUEL,        Other fuel,"1,411",±607,0.10%,±0.1,"2,487",±746,0.90%,±0.3,"7,915","±1,646",0.30%,±0.1,"4,430","±1,533",0.40%,±0.1,"43,531","±3,469",0.30%,±0.1,"12,059","±1,764",0.50%,±0.1,"14,306","±1,967",1.00%,±0.1,"1,996",±758,0.50%,±0.2,"2,396","±1,137",0.70%,±0.4,"5,518","±1,408",0.10%,±0.1,"4,723","±1,291",0.10%,±0.1,470,±388,0.10%,±0.1,"4,873","±1,062",0.70%,±0.2,"26,399","±2,897",0.50%,±0.1,"11,096","±2,102",0.40%,±0.1,"9,249","±1,407",0.70%,±0.1,"6,076","±1,017",0.50%,±0.1,"6,895","±1,417",0.40%,±0.1,"1,234",±499,0.10%,±0.1,"10,375","±1,284",1.70%,±0.2,"13,195","±2,158",0.60%,±0.1,"21,455","±2,602",0.80%,±0.1,"33,236","±2,641",0.80%,±0.1,"21,744","±2,288",1.00%,±0.1,"1,333",±597,0.10%,±0.1,"9,306","±1,501",0.40%,±0.1,"5,973","±1,132",1.30%,±0.3,"4,338",±805,0.60%,±0.1,"5,698","±1,403",0.50%,±0.1,"10,002","±1,684",1.80%,±0.3,"19,506","±2,753",0.60%,±0.1,"9,866","±2,108",1.20%,±0.3,"98,952","±5,306",1.30%,±0.1,"7,761","±1,516",0.20%,±0.1,"4,649","±1,122",1.40%,±0.3,"33,802","±2,773",0.70%,±0.1,"9,727","±1,220",0.60%,±0.1,"12,207","±1,883",0.70%,±0.1,"46,436","±3,139",0.90%,±0.1,"1,870",±779,0.40%,±0.2,"3,887","±1,204",0.20%,±0.1,"5,112",±982,1.40%,±0.3,"3,999","±1,025",0.10%,±0.1,"19,922","±3,025",0.20%,±0.1,"4,325",±999,0.40%,±0.1,"4,533",±893,1.70%,±0.3,"9,742","±1,631",0.30%,±0.1,"15,521","±2,195",0.50%,±0.1,"3,718",±933,0.50%,±0.1,"19,067","±2,081",0.80%,±0.1,"2,204",±980,0.90%,±0.4,291,±378,0.00%,±0.1
HOUSE HEATING FUEL,        No fuel used,"11,260","±1,826",0.60%,±0.1,"2,767",±971,1.00%,±0.4,"29,157","±2,710",1.00%,±0.1,"6,009","±1,676",0.50%,±0.1,"414,132","±11,328",3.10%,±0.1,"10,097","±1,714",0.40%,±0.1,"9,354","±2,045",0.70%,±0.1,"2,623",±985,0.70%,±0.2,"6,071","±1,453",1.90%,±0.5,"215,656","±8,473",2.50%,±0.1,"22,648","±2,876",0.60%,±0.1,"223,706","±5,397",45.60%,±1.1,"2,452",±829,0.40%,±0.1,"40,827","±3,825",0.80%,±0.1,"11,787","±2,097",0.40%,±0.1,"6,283","±1,249",0.50%,±0.1,"5,253","±1,530",0.50%,±0.1,"8,438","±2,009",0.50%,±0.1,"9,027","±1,835",0.50%,±0.1,"1,969",±785,0.30%,±0.1,"17,797","±2,309",0.80%,±0.1,"16,919","±2,292",0.60%,±0.1,"23,175","±2,356",0.60%,±0.1,"21,985","±2,615",1.00%,±0.1,"8,316","±2,053",0.70%,±0.2,"10,633","±1,707",0.40%,±0.1,"1,866",±838,0.40%,±0.2,"3,445",±699,0.40%,±0.1,"8,993","±1,820",0.80%,±0.2,"4,243","±1,229",0.80%,±0.2,"30,928","±3,248",0.90%,±0.1,"4,920","±1,324",0.60%,±0.2,"132,953","±7,141",1.70%,±0.1,"26,654","±2,772",0.60%,±0.1,"2,849",±915,0.90%,±0.3,"25,478","±2,819",0.50%,±0.1,"5,559",±997,0.40%,±0.1,"9,944","±1,701",0.60%,±0.1,"31,599","±3,416",0.60%,±0.1,"1,500",±634,0.30%,±0.1,"12,932","±2,142",0.60%,±0.1,"2,868",±829,0.80%,±0.2,"14,062","±2,050",0.50%,±0.1,"60,118","±5,095",0.60%,±0.1,"3,717","±1,179",0.30%,±0.1,746,±417,0.30%,±0.2,"21,198","±2,803",0.60%,±0.1,"20,704","±2,549",0.70%,±0.1,"2,262",±609,0.30%,±0.1,"14,649","±1,960",0.60%,±0.1,952,±457,0.40%,±0.2,"1,043,394","±10,056",89.50%,±0.4
SELECTED CHARACTERISTICS,    Occupied housing units,"1,967,559","±10,527","1,967,559",(X),"271,311","±3,313","271,311",(X),"2,817,723","±10,850","2,817,723",(X),"1,183,675","±7,882","1,183,675",(X),"13,429,063","±19,170","13,429,063",(X),"2,313,042","±8,099","2,313,042",(X),"1,428,313","±5,900","1,428,313",(X),"395,656","±4,126","395,656",(X),"319,565","±3,541","319,565",(X),"8,565,329","±25,039","8,565,329",(X),"4,001,109","±12,817","4,001,109",(X),"490,080","±5,054","490,080",(X),"693,882","±4,348","693,882",(X),"4,991,641","±12,428","4,991,641",(X),"2,680,694","±9,238","2,680,694",(X),"1,300,467","±6,514","1,300,467",(X),"1,159,026","±5,714","1,159,026",(X),"1,785,682","±8,799","1,785,682",(X),"1,783,924","±7,696","1,783,924",(X),"593,626","±5,251","593,626",(X),"2,355,652","±6,143","2,355,652",(X),"2,759,018","±9,086","2,759,018",(X),"4,051,798","±10,574","4,051,798",(X),"2,281,033","±6,734","2,281,033",(X),"1,129,611","±8,212","1,129,611",(X),"2,468,726","±10,224","2,468,726",(X),"448,949","±4,159","448,949",(X),"785,982","±4,212","785,982",(X),"1,191,380","±6,445","1,191,380",(X),"548,026","±4,691","548,026",(X),"3,497,945","±8,126","3,497,945",(X),"834,007","±4,770","834,007",(X),"7,652,666","±17,305","7,652,666",(X),"4,179,632","±15,192","4,179,632",(X),"322,511","±3,883","322,511",(X),"4,832,922","±10,937","4,832,922",(X),"1,547,967","±6,458","1,547,967",(X),"1,702,599","±8,524","1,702,599",(X),"5,228,956","±12,804","5,228,956",(X),"440,170","±4,169","440,170",(X),"2,049,972","±10,471","2,049,972",(X),"356,887","±3,371","356,887",(X),"2,770,395","±8,851","2,770,395",(X),"10,796,247","±19,104","10,796,247",(X),"1,101,499","±5,112","1,101,499",(X),"270,163","±3,018","270,163",(X),"3,331,461","±10,153","3,331,461",(X),"3,022,255","±9,423","3,022,255",(X),"722,201","±5,460","722,201",(X),"2,449,970","±6,685","2,449,970",(X),"242,763","±2,909","242,763",(X),"1,165,982","±9,161","1,165,982",(X)
SELECTED CHARACTERISTICS,        Lacking complete plumbing facilities,"6,980","±1,790",0.40%,±0.1,"9,682","±1,346",3.60%,±0.5,"18,253","±2,248",0.60%,±0.1,"7,153","±1,774",0.60%,±0.1,"56,939","±3,718",0.40%,±0.1,"8,179","±1,554",0.40%,±0.1,"5,167","±1,415",0.40%,±0.1,"1,765",±878,0.40%,±0.2,"1,260",±671,0.40%,±0.2,"30,333","±4,011",0.40%,±0.1,"14,136","±2,539",0.40%,±0.1,"2,900",±932,0.60%,±0.2,"2,784","±1,006",0.40%,±0.1,"13,723","±1,794",0.30%,±0.1,"8,985","±1,517",0.30%,±0.1,"4,457","±1,132",0.30%,±0.1,"4,866","±1,163",0.40%,±0.1,"7,971","±1,412",0.40%,±0.1,"7,683","±1,734",0.40%,±0.1,"3,378",±767,0.60%,±0.1,"8,958","±1,880",0.40%,±0.1,"9,535","±1,883",0.30%,±0.1,"13,685","±1,993",0.30%,±0.1,"8,694","±1,410",0.40%,±0.1,"4,066","±1,174",0.40%,±0.1,"10,448","±1,757",0.40%,±0.1,"2,072",±553,0.50%,±0.1,"2,680",±682,0.30%,±0.1,"6,680","±1,474",0.60%,±0.1,"1,892",±686,0.30%,±0.1,"10,475","±2,129",0.30%,±0.1,"10,120","±1,756",1.20%,±0.2,"29,564","±3,524",0.40%,±0.1,"11,961","±1,845",0.30%,±0.1,756,±354,0.20%,±0.1,"16,448","±2,328",0.30%,±0.1,"8,279","±1,353",0.50%,±0.1,"8,806","±1,887",0.50%,±0.1,"22,515","±2,891",0.40%,±0.1,"1,291",±779,0.30%,±0.2,"6,341","±1,332",0.30%,±0.1,"2,633",±949,0.70%,±0.3,"10,600","±1,895",0.40%,±0.1,"56,991","±5,231",0.50%,±0.1,"3,725","±1,120",0.30%,±0.1,"1,140",±400,0.40%,±0.1,"9,587","±1,760",0.30%,±0.1,"12,307","±1,897",0.40%,±0.1,"2,774",±826,0.40%,±0.1,"10,451","±1,515",0.40%,±0.1,684,±406,0.30%,±0.2,"11,939","±1,807",1.00%,±0.2
SELECTED CHARACTERISTICS,        Lacking complete kitchen facilities,"13,193","±2,037",0.70%,±0.1,"7,613","±1,296",2.80%,±0.5,"22,693","±2,691",0.80%,±0.1,"11,744","±2,266",1.00%,±0.2,"155,053","±6,735",1.20%,±0.1,"14,502","±1,674",0.60%,±0.1,"10,858","±2,231",0.80%,±0.2,"3,581","±1,362",0.90%,±0.3,"3,014","±1,033",0.90%,±0.3,"64,825","±5,654",0.80%,±0.1,"24,829","±3,708",0.60%,±0.1,"8,213","±1,674",1.70%,±0.3,"6,326","±1,846",0.90%,±0.3,"36,535","±3,375",0.70%,±0.1,"21,637","±2,761",0.80%,±0.1,"10,723","±1,538",0.80%,±0.1,"10,877","±1,721",0.90%,±0.1,"12,854","±2,195",0.70%,±0.1,"13,221","±2,097",0.70%,±0.1,"4,742","±1,041",0.80%,±0.2,"15,579","±2,685",0.70%,±0.1,"21,124","±2,688",0.80%,±0.1,"26,740","±2,573",0.70%,±0.1,"16,124","±2,248",0.70%,±0.1,"7,905","±1,661",0.70%,±0.1,"19,126","±2,287",0.80%,±0.1,"4,016","±1,016",0.90%,±0.2,"7,570","±1,318",1.00%,±0.2,"11,725","±1,993",1.00%,±0.2,"3,410","±1,082",0.60%,±0.2,"24,487","±3,079",0.70%,±0.1,"10,609","±1,768",1.30%,±0.2,"51,719","±4,217",0.70%,±0.1,"23,018","±2,760",0.60%,±0.1,"1,159",±443,0.40%,±0.1,"41,416","±3,205",0.90%,±0.1,"14,357","±1,889",0.90%,±0.1,"20,111","±2,450",1.20%,±0.1,"43,138","±3,529",0.80%,±0.1,"2,547",±996,0.60%,±0.2,"12,844","±2,149",0.60%,±0.1,"4,543","±1,271",1.30%,±0.4,"19,245","±2,131",0.70%,±0.1,"84,504","±6,279",0.80%,±0.1,"6,226","±1,395",0.60%,±0.1,"2,455",±845,0.90%,±0.3,"21,067","±2,459",0.60%,±0.1,"29,610","±2,545",1.00%,±0.1,"3,184","±1,023",0.40%,±0.1,"18,708","±2,305",0.80%,±0.1,"1,880",±770,0.80%,±0.3,"13,077","±2,065",1.10%,±0.2
SELECTED CHARACTERISTICS,        No telephone service available,"20,776","±2,670",1.10%,±0.1,"2,723",±879,1.00%,±0.3,"30,295","±3,562",1.10%,±0.1,"12,221","±2,170",1.00%,±0.2,"123,802","±6,967",0.90%,±0.1,"17,696","±2,599",0.80%,±0.1,"11,649","±2,141",0.80%,±0.2,"2,686",±849,0.70%,±0.2,"3,114","±1,145",1.00%,±0.4,"82,503","±5,124",1.00%,±0.1,"34,474","±4,073",0.90%,±0.1,"3,130",±943,0.60%,±0.2,"5,592","±1,391",0.80%,±0.2,"39,480","±3,738",0.80%,±0.1,"22,763","±2,834",0.80%,±0.1,"10,268","±1,541",0.80%,±0.1,"9,483","±1,639",0.80%,±0.1,"21,477","±2,645",1.20%,±0.1,"20,608","±3,322",1.20%,±0.2,"5,001","±1,021",0.80%,±0.2,"18,787","±2,278",0.80%,±0.1,"23,315","±2,743",0.80%,±0.1,"29,649","±2,608",0.70%,±0.1,"16,076","±2,047",0.70%,±0.1,"14,880","±2,217",1.30%,±0.2,"21,540","±2,516",0.90%,±0.1,"4,879","±1,190",1.10%,±0.3,"7,134","±1,107",0.90%,±0.1,"13,440","±1,976",1.10%,±0.2,"3,758","±1,168",0.70%,±0.2,"29,076","±3,584",0.80%,±0.1,"11,442","±1,980",1.40%,±0.2,"67,742","±4,623",0.90%,±0.1,"34,521","±3,176",0.80%,±0.1,"3,653","±1,359",1.10%,±0.4,"41,775","±3,684",0.90%,±0.1,"16,446","±1,522",1.10%,±0.1,"12,671","±1,842",0.70%,±0.1,"53,865","±3,972",1.00%,±0.1,"6,614","±1,626",1.50%,±0.4,"18,763","±2,868",0.90%,±0.1,"4,334","±1,026",1.20%,±0.3,"32,124","±3,351",1.20%,±0.1,"99,153","±6,201",0.90%,±0.1,"6,569","±1,751",0.60%,±0.2,"2,272",±773,0.80%,±0.3,"26,096","±2,679",0.80%,±0.1,"22,374","±2,968",0.70%,±0.1,"8,518","±1,384",1.20%,±0.2,"19,647","±2,021",0.80%,±0.1,"1,949",±845,0.80%,±0.3,"27,760","±2,687",2.40%,±0.2
OCCUPANTS PER ROOM,    Occupied housing units,"1,967,559","±10,527","1,967,559",(X),"271,311","±3,313","271,311",(X),"2,817,723","±10,850","2,817,723",(X),"1,183,675","±7,882","1,183,675",(X),"13,429,063","±19,170","13,429,063",(X),"2,313,042","±8,099","2,313,042",(X),"1,428,313","±5,900","1,428,313",(X),"395,656","±4,126","395,656",(X),"319,565","±3,541","319,565",(X),"8,565,329","±25,039","8,565,329",(X),"4,001,109","±12,817","4,001,109",(X),"490,080","±5,054","490,080",(X),"693,882","±4,348","693,882",(X),"4,991,641","±12,428","4,991,641",(X),"2,680,694","±9,238","2,680,694",(X),"1,300,467","±6,514","1,300,467",(X),"1,159,026","±5,714","1,159,026",(X),"1,785,682","±8,799","1,785,682",(X),"1,783,924","±7,696","1,783,924",(X),"593,626","±5,251","593,626",(X),"2,355,652","±6,143","2,355,652",(X),"2,759,018","±9,086","2,759,018",(X),"4,051,798","±10,574","4,051,798",(X),"2,281,033","±6,734","2,281,033",(X),"1,129,611","±8,212","1,129,611",(X),"2,468,726","±10,224","2,468,726",(X),"448,949","±4,159","448,949",(X),"785,982","±4,212","785,982",(X),"1,191,380","±6,445","1,191,380",(X),"548,026","±4,691","548,026",(X),"3,497,945","±8,126","3,497,945",(X),"834,007","±4,770","834,007",(X),"7,652,666","±17,305","7,652,666",(X),"4,179,632","±15,192","4,179,632",(X),"322,511","±3,883","322,511",(X),"4,832,922","±10,937","4,832,922",(X),"1,547,967","±6,458","1,547,967",(X),"1,702,599","±8,524","1,702,599",(X),"5,228,956","±12,804","5,228,956",(X),"440,170","±4,169","440,170",(X),"2,049,972","±10,471","2,049,972",(X),"356,887","±3,371","356,887",(X),"2,770,395","±8,851","2,770,395",(X),"10,796,247","±19,104","10,796,247",(X),"1,101,499","±5,112","1,101,499",(X),"270,163","±3,018","270,163",(X),"3,331,461","±10,153","3,331,461",(X),"3,022,255","±9,423","3,022,255",(X),"722,201","±5,460","722,201",(X),"2,449,970","±6,685","2,449,970",(X),"242,763","±2,909","242,763",(X),"1,165,982","±9,161","1,165,982",(X)
OCCUPANTS PER ROOM,        1.00 or less,"1,937,046","±10,718",98.40%,±0.1,"256,465","±3,764",94.50%,±0.7,"2,685,107","±11,508",95.30%,±0.3,"1,153,467","±8,788",97.40%,±0.3,"12,329,474","±24,824",91.80%,±0.1,"2,258,253","±8,325",97.60%,±0.2,"1,399,595","±6,574",98.00%,±0.2,"388,019","±4,415",98.10%,±0.4,"309,000","±3,968",96.70%,±0.7,"8,292,892","±25,425",96.80%,±0.1,"3,914,607","±13,673",97.80%,±0.2,"447,212","±5,240",91.30%,±0.7,"672,326","±5,659",96.90%,±0.5,"4,873,017","±13,561",97.60%,±0.1,"2,630,258","±10,340",98.10%,±0.2,"1,280,809","±7,127",98.50%,±0.2,"1,134,225","±6,778",97.90%,±0.2,"1,750,849","±9,439",98.00%,±0.2,"1,738,695","±9,036",97.50%,±0.2,"586,470","±5,313",98.80%,±0.2,"2,296,193","±8,309",97.50%,±0.2,"2,698,917","±10,979",97.80%,±0.2,"3,980,534","±11,927",98.20%,±0.1,"2,231,310","±8,068",97.80%,±0.2,"1,106,406","±8,690",97.90%,±0.3,"2,430,200","±10,849",98.40%,±0.1,"440,412","±4,171",98.10%,±0.4,"770,119","±4,302",98.00%,±0.2,"1,141,748","±6,907",95.80%,±0.3,"539,835","±5,406",98.50%,±0.3,"3,367,173","±11,364",96.30%,±0.2,"809,370","±5,654",97.00%,±0.4,"7,257,233","±19,876",94.80%,±0.1,"4,089,192","±16,580",97.80%,±0.2,"314,620","±4,069",97.60%,±0.5,"4,763,143","±11,896",98.60%,±0.1,"1,506,470","±7,248",97.30%,±0.2,"1,647,808","±9,318",96.80%,±0.2,"5,147,541","±14,186",98.40%,±0.1,"431,967","±4,903",98.10%,±0.4,"2,011,847","±10,842",98.10%,±0.2,"348,406","±3,695",97.60%,±0.4,"2,711,998","±9,961",97.90%,±0.2,"10,269,473","±25,076",95.10%,±0.2,"1,065,413","±5,276",96.70%,±0.3,"265,192","±3,072",98.20%,±0.5,"3,266,141","±11,592",98.00%,±0.1,"2,919,452","±10,362",96.60%,±0.2,"713,890","±5,567",98.80%,±0.2,"2,406,082","±7,576",98.20%,±0.2,"236,805","±3,453",97.50%,±0.6,"1,139,476","±9,219",97.70%,±0.3
